,"\"@velezfutbol ojo, el gol en el alarque de https://t.co/P4FECHoAhH ILEGAL. Por qu\\u00e9 la banca de argentina, invadi\\u00f3 el terreno.\""
,"\"mi insta y twitter de basa en que gan\\u00f3 argentina y fotos de messi ya basta por favor\""
,"\"Ya se pueden meter a su messi y su copa del mundo por el culo\""
,"\"Primeras planas de q #arg gan\\u00f3 la #WorldCup en #Qatar2022 #messi https://t.co/A6MkMfnmk9\""
,"\"Yendome de instagram porque el \\u00fanico contenido ahora mismo es son do cami\\u00f1o y messi y me aburri\""
,"\"a todos los que critican a Messi o a la selecci\\u00f3n, unfollow, ya no tenemos porque ser tibios ah\""
,"\"Todo el mundo habla de que Messi logr\\u00f3 ganar el mundial pero y este crack. https://t.co/Y9fXTeRyL7\""
,"\"Que lindo ver el reconocimiento de futbolistas tremendos, de distintas nacionalidades para con nuestra selecci\\u00f3n, y sobre todo para con Messi, el mundo entero necesitaba verte levantar la copa.\\nGRACIAS!\\nDe la mano de Leo, hoy el mundo es un lugar m\\u00e1s feliz y unido! \\ud83c\\udde6\\ud83c\\uddf7 #CAMPEONES\""
,"\"por favor no me puedo sentir mal POR NADA, cada cosa negativa que se me cruza se desvanece instant\\u00e1neamente al recordar QUE SOMOS CAMPEONES DEL MUNDO Y MESSI TUVO POR FIN LO QUE MERECE, NO ME BAJAN M\\u00c1S DE ACA NO NECESITO M\\u00c1S TERAPIA\""
,"\"Finalmente Messi sabe cu\\u00e1nto besa la Copa del Mundo https://t.co/PwgINtnIF4\""
,"\"Mbapp\\u00e9 es un atleta, Messi es un jugador de f\\u00fatbol.\""
,"\"los fans de cristiano criticando a messi y a la selecci\\u00f3n con una foto de \\u00e9l y la copa del mundo toda photoshopeada jajajajajajajaja la vida es hermosa , chupenla todos.\""
,"\"@julianalvarezzz por favor campe\\u00f3n, publica la foto que te sacaste con Messi \\nNecesito llorarle la vida entera\""
,"\"La imagen m\\u00e1s ic\\u00f3nica del Mundial. Para la historia, el Mundial de Qatar quedar\\u00e1 en el recuerdo como el mundial de Leo Messi \\ud83c\\udde6\\ud83c\\uddf7 https://t.co/fbsoPT7FKt\""
,"\"Ahora que Messi es campe\\u00f3n, que putas las ni\\u00f1as que les gusta y defienden el #Dibu Mart\\u00ednez, muy grave que les prenda s\\u00edmbolos de masculinidad t\\u00f3xica, un cap\\u00edtulo de Freud, rev\\u00edsense.\""
,"\"El partido es inanalizable y no me interesa hacerlo, a las notas nom\\u00e1s.\\n\\nDibu 8, Molina 7, Romero 8, Otamendi 7, Tagliafico 7, De Paul 9, Enzo 8, Mac Allister 8, Messi 9, Juli\\u00e1n 8, Di Mar\\u00eda 10; Acu\\u00f1a 7, Montiel 4, Paredes 6, Lautaro 5, Pezzella y Dybala jugaron poco. Scaloni 10.\""
,"\"Para el mundial 2026\\nDibi\\nMolina Cuti Mart\\u00ednez Acu\\u00f1a\\nFern\\u00e1ndez Varela Mac Allister\\nMESSI (SI LLEGAS HERMANOOO)\\n\\u00c1lvarez Garnacho/Zeballos\""
,"\"Tu nuevo fondo de pantalla... \\n#Messi\\ud80c\\udcf5 #Argentina https://t.co/l7Q0xeOy2b\""
,"\"Si Elegante o como se escriba canto el himno\\u2026 Messi se puede subir en chota al balc\\u00f3n de la rosada!\""
,"\"Mi ciudad Villa Maria como todo el pa\\u00eds\\u2026 y varias ciudades del mundo. #VamosArgentina #SomosCampeonesDelMundo #Messi\\ud80c\\udcf5 #Qatar2022 #FIFAWorldCup https://t.co/esIekJrcKT\""
,"\"\\ud83c\\udfc6 \\u00a1El mundo amaneci\\u00f3 con un nuevo campe\\u00f3n! \\ud83c\\udfc6\\n\\n\\ud83d\\udc51 \\u00bfEs Lionel Messi el mejor futbolista de la historia?\\ud83e\\udd14 https://t.co/v9vHypaqpq\""
,"\"Ver a messi levantar la copa logro que llore por media hora\""
,"\"Estas son algunas de las lacras odiadoras, los que permanentemente le tiraron mierda a la selecci\\u00f3n, a Scaloni, a DiMaria, a Messi. Todos o muchos de ellos adem\\u00e1s macristas repugnantes que seguramente hicieron negocio con el odio.\\nNO HAY QUE OLVIDARLOS https://t.co/n7BbLqWLLH\""
,"\"Me tatu\\u00e9 a Messi 4 dias antes de la final, lo escond\\u00ed a quien mas pude para que no digan que iba a ser mufa, jugu\\u00e9 con fuego!!\""
,"\"El video de Scaloni rompiendo en llanto despu\\u00e9s de caer que es EL TECNICO QUE SAC\\u00d3 CAMPEON DEL MUNDO A MESSI, es escandalosamente el mejor video que existe sobre la faz de la tierra\""
,"\"Cada foto que veo de messi con la copa es mejor que la anterior.\""
,"\"Por cierto, han tirado a 45 millones de argentinos contra DJMario por no bailarles el agua. Lo dicho, lo \\u00fanico que me alegra del mundial es Messi. Lo \\u00fanico. Pero lo \\u00fanico de verdad. Ni medio motivo m\\u00e1s.\""
,"\"Lo que so\\u00f1amos todos cuando escuchamos que este fue el \\u00faltimo mundial de Messi. https://t.co/A8GWXw4Wfh\""
,"\"Me alegro por Messi, por Scaloni, por Argentina pero la soberbia, las burlas y los insultos sobran\\u2026 celebrar no es excusa.\""
