,"\"Lo siento pero no admito que pele no entre en debate con Messi.\""
,"\"Es Lunes pero Messi gan\\u00f3 el mundial as\\u00ed que es un buen d\\u00eda\\ud83d\\udcab\\ud83e\\udd70\""
,"\"esta hermoso como Messi levantando la copa\""
,"\"foto de messi que veo, foto que guardo\""
,"\"Se acuerdan cuando @jaimelabc golpe\\u00f3 y Rob\\u00f3 celular de un Agente de vialidad en la ciudad de #Oaxaca ? #Triquis #Copala https://t.co/gCEWT4M3vH #FIFAWorldCup #Messi\\ud80c\\udcf5 #ArgentinaVsFrance #ArgentinaCampeonDelMundo #Qatar2022 #Qatar2022 #Qatar2022 #ARGFRA #LionelMessi\\ud80c\\udcf5 #AMLO\""
,"\"#LanataSinFiltro Nada que ver Calabr\\u00f3, el kun NO lo ve parecido!!El Kun Ag\\u00fcero lo carga al Papu, xq el el Papu pidi\\u00f3 el corte de Beckham, xq se \\u00e9l dice que se parece y el Kun le dec\\u00eda no te pareces en nada! @rbarbano @sangarciacorre \\nhttps://t.co/kts5nOUF6Z\""
,"\"Argentina gana el Mundial: qu\\u00e9 es el bisht, la t\\u00fanica negra y dorada con la que Messi recibi\\u00f3 la Copa del Mundo https://t.co/hGjQ5j6Jae\""
,"\"Que lindo es ser Argentino. Que lindo es tener el mate, que lindo es tener el asado, que lindo es tener tres copas, que lindo es tener a Maradona, a Messi, que lindo es tener nuestro futbol. Siempre siempre siempre orgullosa de mi pa\\u00eds. M\\u00e1s Argentina que el dulce de leche\\u2665\\ufe0f\""
,"\"Como ser\\u00e1 la vida de los que le dec\\u00edan frionel Messi?\\ud83d\\ude02\\ud83d\\ude02\\ud83d\\ude02\\ud83d\\ude02\""
,"\"\\u00bfMessi al Miami FC? Bueno, esperan que haga 7 goles por partido... Porque esa liga es mala mala y a los gringos les encantan los deportes de \\\"mucha acci\\u00f3n\\\" o sea, para ellos un 1-0 2-0 en un partido de \\\"soccer\\\" es un fracaso.\""
,"\"Mbappe va a ser mucho mejor jugador que Messi con lo joven que es ya tiene un mundial.\\nEl Messi para su jubilaci\\u00f3n.jajajaja\""
,"\"Messi fue la suma de todos los Messi para ser el jugador absoluto y cumplir el sue\\u00f1o que le faltaba - https://t.co/tXWGgaYcBg . Qu\\u00e9 bonito texto.\""
,"\"la foto de messi con la copa en su ig tiene 45 millones de likes ajsjakakskajajaj dios m\\u00edo es como si todo el pa\\u00eds le hubiera dado corazoncito\""
,"\"Messi siempre d\\u00e1ndonos los mejores desarrollos de personajes https://t.co/fvxmMlhKrj\""
,"\"Tengo m\\u00e1s fotos de Messi con la copa que fotos mias en el tel\\u00e9fono\""
,"\"cu\\u00e1ntos d\\u00edas tardar\\u00e1 Ibai en entrevistar a Messi?\""
,"\"como puede haber gente q hable mal de Messi????????????\""
,"\"messi es el mejor jugador de la historia a la vista esta los titulos, tdo loq ha podido llegar a conseguir lo ha conseguido y cristiano tmb es uno d los mejores pero no tiene ni tendra los titulos d messi y eso hay q reconocerlo, aunq sea igual o mas famoso.\""
,"\"Tengo de fondo la foto de Messi besando la copa am\\u00e9rica, ahora la tengo que cambiar por una que est\\u00e9 besando la del mundo... colaboren con las fotos cheee\""
,"\"Analizamos la final de QATAR 2022 con mis amigos Federico y Mauro https://t.co/WmWyYtw3LR a trav\\u00e9s de @YouTube \\\"Mundial de Argentina\\\" \\\"Messi con la Copa del Mundo\\\" #FIFAWorldCup\""
,"\"En mi mente se sigue reproduciendo el momento en el que Messi levant\\u00f3 la copa y se empez\\u00f3 a reproducir en el estadio la cumbia de los trapos\""
,"\"De la mano de Lionel Messi, Argentina se consagr\\u00f3 en el Mundial de Qatar. Pero m\\u00e1s all\\u00e1 de la Pulga, hubo varios jugadores que se destacaron en el conjunto sudamericano. Mira qui\\u00e9nes fueron los mejores\\nhttps://t.co/zKojVjbaqJ\""
,"\"Messi y los memes son todo lo que est\\u00e1 bien con este mundial \\u2764\\ufe0f\""
,"\"Mi predicci\\u00f3n para la Selecci\\u00f3n \\ud83c\\udde6\\ud83c\\uddf7 es la siguiente: \\n- Scaloni va a hacer la gran Messi, va a llegar a la Copa Am\\u00e9rica para ir como campe\\u00f3n del mundo. Despu\\u00e9s de eso termina en un gran club con un gran arreglo econ\\u00f3mico, y se retira de la selecci\\u00f3n en lo alto.\""
,"\"Me atrevo a decir que Di Mar\\u00eda es quiz\\u00e1s el tercer m\\u00e1ximo \\u00eddolo de la historia de la selecci\\u00f3n. Maradona, Messi, Di Mar\\u00eda y Kempes. \\n\\n\\u00bfEl quinto ser\\u00eda Batistuta?\""
,"\"A Messi s\\u00f3lo le hace falta ganar la liga mx y la eurocopa para ser el mejor de la historia\""
,"\"quien va a ser el heredero de la 10 de messi?\""
,"\"agarro y se la paso a messi\""
,"\"MESSI, SOS CAMPE\\u00d3N DEL MUNDO?\\nSOS CAMPE\\u00d3N DEL MUNDO?\\n\\ud83d\\udc4d\\ud83c\\udffb\""
,"\"#NuevaFotoDePerfil\\nGracias de por vida Messi https://t.co/LflUbQqGRD\""
